                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.99226,                0.45797,                 1.0383,                 0.9146,                0.88469,                0.93447,                0.61514,                 1.2848,                0.53187,                 1.2471,              0.0073468,              0.0073468,              0.0073468
                     69,                 0.9826,                0.45242,                 1.0344,                0.91938,                0.88799,                0.93377,                0.61522,                 1.2763,                0.53046,                 1.2491,              0.0073072,              0.0073072,              0.0073072
                     70,                0.97924,                0.44878,                 1.0383,                0.92558,                0.86705,                0.93294,                0.61807,                 1.2905,                0.55179,                 1.2477,              0.0072676,              0.0072676,              0.0072676
                     71,                0.98854,                0.46029,                 1.0332,                0.91636,                0.88949,                0.93374,                 0.6134,                 1.2861,                0.53706,                 1.2496,               0.007228,               0.007228,               0.007228
                     72,                0.99002,                0.45694,                 1.0371,                0.91468,                0.89327,                0.93591,                0.61413,                 1.2842,                0.52556,                 1.2497,              0.0071884,              0.0071884,              0.0071884
                     73,                0.96876,                0.44753,                 1.0292,                0.91893,                0.88167,                0.93742,                0.61978,                 1.2819,                0.53036,                 1.2389,              0.0071488,              0.0071488,              0.0071488
                     74,                0.97047,                0.44932,                 1.0204,                0.92129,                0.87854,                 0.9363,                0.61575,                 1.2772,                 0.5226,                  1.239,              0.0071092,              0.0071092,              0.0071092
                     75,                0.95577,                0.44085,                 1.0231,                0.91536,                0.88622,                0.93477,                0.61693,                   1.28,                0.52538,                 1.2439,              0.0070696,              0.0070696,              0.0070696
                     76,                0.95456,                 0.4411,                 1.0244,                0.91063,                0.88969,                 0.9361,                0.61836,                 1.2726,                0.52572,                  1.243,                0.00703,                0.00703,                0.00703
                     77,                0.95561,                0.44699,                 1.0171,                0.90954,                0.89539,                0.93389,                0.61397,                 1.2816,                0.52363,                 1.2302,              0.0069904,              0.0069904,              0.0069904
                     78,                0.94425,                0.43583,                 1.0104,                 0.9239,                0.88044,                0.93803,                0.61949,                 1.2807,                0.52198,                 1.2457,              0.0069508,              0.0069508,              0.0069508
                     79,                0.94215,                0.44102,                 1.0131,                0.91577,                0.89452,                 0.9362,                 0.6204,                  1.283,                0.52927,                 1.2455,              0.0069112,              0.0069112,              0.0069112
                     80,                 0.9402,                 0.4366,                 1.0096,                0.92465,                0.87508,                0.93138,                0.61667,                 1.2768,                0.52482,                 1.2232,              0.0068716,              0.0068716,              0.0068716
                     81,                0.92766,                0.43447,                 1.0047,                0.91033,                0.89988,                0.93869,                0.61392,                 1.2813,                0.52352,                 1.2367,               0.006832,               0.006832,               0.006832
                     82,                0.93208,                0.43519,                  1.002,                0.92039,                0.87846,                0.93859,                0.62245,                 1.2894,                0.52762,                 1.2401,              0.0067924,              0.0067924,              0.0067924
                     83,                0.92616,                0.42842,                 1.0019,                0.91323,                0.88274,                0.93133,                 0.6162,                 1.2864,                0.53718,                 1.2347,              0.0067528,              0.0067528,              0.0067528
